kepid fits i j k l period prad srad kepmag
003322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2009350155506_llc.fits 0 0 0 14 5.55944313014 0.651063675199 0.56 15.092
012268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2012088054726_llc.fits 0 0 0 15 5.45477396247 0.852456262855 0.609 13.212
006276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2010355172524_llc.fits 0 0 0 16 33.1022332737 0.829047816429 0.557 15.31
011714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2010265121752_llc.fits 0 0 0 17 13.1486038761 0.843072262416 0.556 13.646
005428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2010078095331_llc.fits 0 0 0 18 49.2264949111 0.89879915593 0.454 14.781
012835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2009166043257_llc.fits 0 0 0 19 8.69960125811 0.609215838099 0.488 15.187
003232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2011073133259_llc.fits 0 0 1 0 35.8736963312 0.52403381765 0.602 13.904
012257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2011177032512_llc.fits 0 0 1 1 7.74622719011 0.605628885396 0.393 15.156
006470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012179063303_llc.fits 0 0 1 2 3.03430041425 0.890965460735 0.27 15.297
009833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 1 3 3.68353477478 0.685876072065 0.435 14.393
008474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2011177032512_llc.fits 0 0 1 4 10.671959569 0.590617321767 0.494 14.982
010936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2009166043257_llc.fits 0 0 1 5 10.0233914002 0.880218324102 0.51 15.046
009225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2011271113734_llc.fits 0 0 1 6 40.8040500223 0.845666087054 0.605 13.919
005265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2009350155506_llc.fits 0 0 1 7 24.3367218693 0.583873602851 0.565 14.786
010963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2011177032512_llc.fits 0 0 1 8 21.5312694995 0.884193920849 0.36 15.179
011514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2013131215648_llc.fits 0 0 1 9 49.1918577144 0.88658444045 0.537 15.346
008042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2013098041711_llc.fits 0 0 1 10 34.7245099545 0.553495466376 0.593 11.264
009333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2013098041711_llc.fits 0 0 1 11 48.7219638215 0.806770898502 0.29 12.889
008678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2011177032512_llc.fits 0 0 1 12 11.0166907267 0.634392790579 0.588 15.226
007802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2013011073258_llc.fits 0 0 1 13 32.1868239424 0.663070866838 0.47 14.457
003322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2012004120508_llc.fits 0 0 1 14 48.3485835339 0.548757920988 0.56 15.092
012268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 1 15 1.1700434788 0.888674977513 0.609 13.212
006276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2011177032512_llc.fits 0 0 1 16 7.73116052062 0.844639069704 0.557 15.31
011714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2012179063303_llc.fits 0 0 1 17 17.557294029 0.980995122036 0.556 13.646
005428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2013011073258_llc.fits 0 0 1 18 37.3204816723 0.542602980084 0.454 14.781
012835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2011073133259_llc.fits 0 0 1 19 41.524151907 0.990332299266 0.488 15.187
003232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2013098041711_llc.fits 0 0 2 0 11.4304419066 0.616252387549 0.602 13.904
012257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2012004120508_llc.fits 0 0 2 1 33.3208320733 0.94964916871 0.393 15.156
006470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2010078095331_llc.fits 0 0 2 2 20.4863430358 0.517907288466 0.27 15.297
009833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010355172524_llc.fits 0 0 2 3 1.83696267301 0.999592722336 0.435 14.393
008474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2010355172524_llc.fits 0 0 2 4 6.99004435107 0.921224764655 0.494 14.982
010936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2009350155506_llc.fits 0 0 2 5 13.0632267902 0.787926449579 0.51 15.046
009225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2012277125453_llc.fits 0 0 2 6 32.4310708689 0.707685303785 0.605 13.919
005265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2010355172524_llc.fits 0 0 2 7 30.8584069577 0.810611708082 0.565 14.786
010963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2010174085026_llc.fits 0 0 2 8 34.3665216733 0.93544476944 0.36 15.179
011514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2009350155506_llc.fits 0 0 2 9 36.8657119232 0.818349851863 0.537 15.346
008042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2011073133259_llc.fits 0 0 2 10 34.3123698006 0.837179719518 0.593 11.264
009333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2010174085026_llc.fits 0 0 2 11 4.60264585113 0.851683543228 0.29 12.889
008678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2011073133259_llc.fits 0 0 2 12 11.7358243094 0.753727172165 0.588 15.226
007802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2012004120508_llc.fits 0 0 2 13 13.7001888716 0.771626363006 0.47 14.457
003322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2009350155506_llc.fits 0 0 2 14 44.8877703001 0.788507019216 0.56 15.092
012268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2010078095331_llc.fits 0 0 2 15 20.2526545934 0.773595496664 0.609 13.212
006276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2011271113734_llc.fits 0 0 2 16 42.0484204509 0.845471046812 0.557 15.31
011714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2011271113734_llc.fits 0 0 2 17 28.2162080463 0.856433628037 0.556 13.646
005428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2009350155506_llc.fits 0 0 2 18 20.1059209429 0.605665606803 0.454 14.781
012835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2012277125453_llc.fits 0 0 2 19 2.66150559878 0.937150889749 0.488 15.187
003232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2011177032512_llc.fits 0 0 3 0 27.3455859462 0.608345818814 0.602 13.904
012257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2009259160929_llc.fits 0 0 3 1 26.8316496839 0.962039532701 0.393 15.156
006470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2013131215648_llc.fits 0 0 3 2 4.11375429564 0.869726111532 0.27 15.297
009833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2009350155506_llc.fits 0 0 3 3 47.6146267571 0.659263685671 0.435 14.393
008474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2009166043257_llc.fits 0 0 3 4 10.9186087441 0.624314126436 0.494 14.982
010936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2009350155506_llc.fits 0 0 3 5 22.1435428956 0.747013425993 0.51 15.046
009225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2009350155506_llc.fits 0 0 3 6 19.3433170602 0.903532984406 0.605 13.919
005265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2013098041711_llc.fits 0 0 3 7 11.8154183683 0.799081985271 0.565 14.786
010963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2010009091648_llc.fits 0 0 3 8 48.2672196164 0.789756101957 0.36 15.179
011514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2010355172524_llc.fits 0 0 3 9 25.1112771753 0.513298727087 0.537 15.346
008042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2013098041711_llc.fits 0 0 3 10 23.9541379561 0.929102915863 0.593 11.264
009333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2012277125453_llc.fits 0 0 3 11 38.1818475869 0.88926660909 0.29 12.889
008678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2011177032512_llc.fits 0 0 3 12 39.5724173581 0.886439580924 0.588 15.226
007802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2012088054726_llc.fits 0 0 3 13 17.2655966943 0.940775225646 0.47 14.457
003322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2009350155506_llc.fits 0 0 3 14 23.5355573778 0.797687479128 0.56 15.092
012268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2009166043257_llc.fits 0 0 3 15 47.4330203979 0.904320950836 0.609 13.212
006276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2009166043257_llc.fits 0 0 3 16 40.703547054 0.776163808339 0.557 15.31
011714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2013011073258_llc.fits 0 0 3 17 46.2036969755 0.77213505251 0.556 13.646
005428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2010265121752_llc.fits 0 0 3 18 3.04693660355 0.759406683323 0.454 14.781
012835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2011271113734_llc.fits 0 0 3 19 44.499786735 0.944151287337 0.488 15.187
003232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2010174085026_llc.fits 0 0 4 0 29.1538353714 0.871236743508 0.602 13.904
012257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2009259160929_llc.fits 0 0 4 1 29.3529315375 0.716402375157 0.393 15.156
006470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2012277125453_llc.fits 0 0 4 2 17.920627753 0.97528750014 0.27 15.297
009833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2012277125453_llc.fits 0 0 4 3 21.4299080287 0.947266034307 0.435 14.393
008474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2012004120508_llc.fits 0 0 4 4 39.8549626601 0.98585258393 0.494 14.982
010936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2010265121752_llc.fits 0 0 4 5 20.1775562809 0.70037965598 0.51 15.046
009225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2010355172524_llc.fits 0 0 4 6 29.4487091583 0.695747401732 0.605 13.919
005265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2012179063303_llc.fits 0 0 4 7 3.12986220357 0.743263888029 0.565 14.786
010963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2009350155506_llc.fits 0 0 4 8 26.6410557162 0.947176491742 0.36 15.179
011514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2009166043257_llc.fits 0 0 4 9 4.48350014088 0.747091451474 0.537 15.346
008042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2012004120508_llc.fits 0 0 4 10 5.6409683258 0.799774510222 0.593 11.264
009333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009259160929_llc.fits 0 0 4 11 47.7129815774 0.579775839965 0.29 12.889
008678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2010174085026_llc.fits 0 0 4 12 6.02442311819 0.786805270714 0.588 15.226
007802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2012179063303_llc.fits 0 0 4 13 42.8931245991 0.701086891357 0.47 14.457
003322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2010355172524_llc.fits 0 0 4 14 40.3552657732 0.934870577429 0.56 15.092
012268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2010265121752_llc.fits 0 0 4 15 40.2964483617 0.621124221085 0.609 13.212
006276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2009259160929_llc.fits 0 0 4 16 23.7887934151 0.924179950177 0.557 15.31
011714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2012179063303_llc.fits 0 0 4 17 43.7971516291 0.894728121209 0.556 13.646
005428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2012088054726_llc.fits 0 0 4 18 13.622740196 0.717795787177 0.454 14.781
012835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2010174085026_llc.fits 0 0 4 19 48.5142522597 0.53969226568 0.488 15.187
003232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2009259160929_llc.fits 0 0 5 0 30.2677458077 0.609137212416 0.602 13.904
012257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2010174085026_llc.fits 0 0 5 1 18.5193290585 0.759893792347 0.393 15.156
006470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2011073133259_llc.fits 0 0 5 2 43.8554569733 0.997653941275 0.27 15.297
009833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010265121752_llc.fits 0 0 5 3 4.39420016491 0.614291341801 0.435 14.393
008474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2013011073258_llc.fits 0 0 5 4 30.7010875241 0.554138476445 0.494 14.982
010936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2010174085026_llc.fits 0 0 5 5 21.8521580462 0.777318663614 0.51 15.046
009225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2011073133259_llc.fits 0 0 5 6 29.8455749337 0.963640249862 0.605 13.919
005265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2013131215648_llc.fits 0 0 5 7 35.3660122879 0.52651469606 0.565 14.786
010963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2012004120508_llc.fits 0 0 5 8 16.5449163112 0.725084664453 0.36 15.179
011514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2011271113734_llc.fits 0 0 5 9 28.7362294891 0.699147313315 0.537 15.346
008042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2009259160929_llc.fits 0 0 5 10 46.2378535746 0.619211432775 0.593 11.264
009333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2013011073258_llc.fits 0 0 5 11 9.53692995105 0.509836233077 0.29 12.889
008678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2010078095331_llc.fits 0 0 5 12 1.66395627719 0.551306127683 0.588 15.226
007802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2011177032512_llc.fits 0 0 5 13 46.0957541065 0.819688314988 0.47 14.457
003322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2009350155506_llc.fits 0 0 5 14 29.8508393333 0.674044269953 0.56 15.092
012268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 5 15 32.7845369827 0.785624870348 0.609 13.212
006276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2010078095331_llc.fits 0 0 5 16 3.62517747645 0.692334128743 0.557 15.31
011714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2012277125453_llc.fits 0 0 5 17 22.3361270999 0.855042467712 0.556 13.646
005428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2011073133259_llc.fits 0 0 5 18 20.9569980324 0.667154692939 0.454 14.781
012835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2010174085026_llc.fits 0 0 5 19 6.04092211483 0.983784723647 0.488 15.187
003232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2011271113734_llc.fits 0 0 6 0 17.9104856451 0.904418610291 0.602 13.904
012257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2009350155506_llc.fits 0 0 6 1 10.0081661777 0.787429554422 0.393 15.156
006470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2013131215648_llc.fits 0 0 6 2 17.2231937568 0.720166335051 0.27 15.297
009833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2013131215648_llc.fits 0 0 6 3 13.12328403 0.636477991223 0.435 14.393
008474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2010355172524_llc.fits 0 0 6 4 10.6234514879 0.794954439555 0.494 14.982
010936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2010265121752_llc.fits 0 0 6 5 35.5839168466 0.919497564067 0.51 15.046
009225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2010355172524_llc.fits 0 0 6 6 40.9425689149 0.663617399719 0.605 13.919
005265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2012088054726_llc.fits 0 0 6 7 43.9665748346 0.692676307159 0.565 14.786
010963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2012004120508_llc.fits 0 0 6 8 34.5405278901 0.925660758943 0.36 15.179
011514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2010355172524_llc.fits 0 0 6 9 16.2364767496 0.539918300111 0.537 15.346
008042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2009131105131_llc.fits 0 0 6 10 33.0948369667 0.690148968524 0.593 11.264
009333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2013131215648_llc.fits 0 0 6 11 23.1045673728 0.632655147843 0.29 12.889
008678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2009350155506_llc.fits 0 0 6 12 42.9117715141 0.86532857279 0.588 15.226
007802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2011177032512_llc.fits 0 0 6 13 39.7709068073 0.538458946141 0.47 14.457
003322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2012277125453_llc.fits 0 0 6 14 47.3012350637 0.555750875894 0.56 15.092
012268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2012088054726_llc.fits 0 0 6 15 37.2761708521 0.785652667973 0.609 13.212
006276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2010355172524_llc.fits 0 0 6 16 34.9020482793 0.570401259802 0.557 15.31
011714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2010355172524_llc.fits 0 0 6 17 21.566860405 0.859230807396 0.556 13.646
005428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2011073133259_llc.fits 0 0 6 18 29.2521234216 0.700755262556 0.454 14.781
012835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2009259160929_llc.fits 0 0 6 19 27.2529651596 0.70024099294 0.488 15.187
003232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2009259160929_llc.fits 0 0 7 0 49.8241009219 0.894588694713 0.602 13.904
012257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2009166043257_llc.fits 0 0 7 1 40.5005596392 0.900098356659 0.393 15.156
006470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2011271113734_llc.fits 0 0 7 2 8.67277205232 0.724236898658 0.27 15.297
009833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2013098041711_llc.fits 0 0 7 3 28.5465978601 0.839749428882 0.435 14.393
008474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2010174085026_llc.fits 0 0 7 4 48.2244507913 0.814954470207 0.494 14.982
010936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2010174085026_llc.fits 0 0 7 5 43.1966778595 0.970343283786 0.51 15.046
009225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2013011073258_llc.fits 0 0 7 6 17.4246508624 0.710488865686 0.605 13.919
005265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2012179063303_llc.fits 0 0 7 7 8.49880283465 0.810528405743 0.565 14.786
010963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2011177032512_llc.fits 0 0 7 8 7.92379915839 0.925910491331 0.36 15.179
011514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2013131215648_llc.fits 0 0 7 9 24.016774377 0.723749322477 0.537 15.346
008042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010078095331_llc.fits 0 0 7 10 3.28400490249 0.758328572702 0.593 11.264
009333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2009131105131_llc.fits 0 0 7 11 44.0854649672 0.603123935957 0.29 12.889
008678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2011271113734_llc.fits 0 0 7 12 13.5013216518 0.815733134898 0.588 15.226
007802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2011073133259_llc.fits 0 0 7 13 28.6287348248 0.742154931386 0.47 14.457
003322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2011271113734_llc.fits 0 0 7 14 4.81130883582 0.918434675829 0.56 15.092
012268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 7 15 31.777445476 0.713340112937 0.609 13.212
006276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2009166043257_llc.fits 0 0 7 16 24.6251364192 0.732442433614 0.557 15.31
011714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2011271113734_llc.fits 0 0 7 17 49.3428894207 0.62672343425 0.556 13.646
005428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2010355172524_llc.fits 0 0 7 18 9.59527841428 0.710497620995 0.454 14.781
012835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2010174085026_llc.fits 0 0 7 19 27.2074404168 0.579797502068 0.488 15.187
003232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2010174085026_llc.fits 0 0 8 0 14.1365742605 0.604763803994 0.602 13.904
012257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2013098041711_llc.fits 0 0 8 1 45.0798982892 0.916027794306 0.393 15.156
006470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2013098041711_llc.fits 0 0 8 2 7.06810254038 0.90481353353 0.27 15.297
009833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2011177032512_llc.fits 0 0 8 3 33.2576667917 0.906697559516 0.435 14.393
008474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2011073133259_llc.fits 0 0 8 4 34.4665747342 0.585030881895 0.494 14.982
010936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2009166043257_llc.fits 0 0 8 5 20.5539407638 0.829416452104 0.51 15.046
009225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2013011073258_llc.fits 0 0 8 6 32.9033895411 0.895416463296 0.605 13.919
005265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2011271113734_llc.fits 0 0 8 7 1.29422188558 0.97726677116 0.565 14.786
010963429 /raw/kepler/lightcurves/0109/010963429/kplr010963429-2012277125453_llc.fits 0 0 8 8 48.4086131832 0.587929313019 0.36 15.179
011514174 /raw/kepler/lightcurves/0115/011514174/kplr011514174-2009350155506_llc.fits 0 0 8 9 32.9071170487 0.857114685195 0.537 15.346
008042251 /raw/kepler/lightcurves/0080/008042251/kplr008042251-2010174085026_llc.fits 0 0 8 10 22.4572728557 0.935272341686 0.593 11.264
009333505 /raw/kepler/lightcurves/0093/009333505/kplr009333505-2011271113734_llc.fits 0 0 8 11 32.7622398087 0.949157897306 0.29 12.889
008678445 /raw/kepler/lightcurves/0086/008678445/kplr008678445-2010174085026_llc.fits 0 0 8 12 47.6354518215 0.648671469044 0.588 15.226
007802933 /raw/kepler/lightcurves/0078/007802933/kplr007802933-2009259160929_llc.fits 0 0 8 13 10.2876762061 0.554844240507 0.47 14.457
003322943 /raw/kepler/lightcurves/0033/003322943/kplr003322943-2013011073258_llc.fits 0 0 8 14 13.2535982525 0.692798700268 0.56 15.092
012268054 /raw/kepler/lightcurves/0122/012268054/kplr012268054-2011073133259_llc.fits 0 0 8 15 47.0414426641 0.877152395329 0.609 13.212
006276708 /raw/kepler/lightcurves/0062/006276708/kplr006276708-2010078095331_llc.fits 0 0 8 16 39.9610282654 0.838648986822 0.557 15.31
011714250 /raw/kepler/lightcurves/0117/011714250/kplr011714250-2009350155506_llc.fits 0 0 8 17 29.7711559442 0.778954379373 0.556 13.646
005428088 /raw/kepler/lightcurves/0054/005428088/kplr005428088-2013098041711_llc.fits 0 0 8 18 27.5794063793 0.809556495383 0.454 14.781
012835232 /raw/kepler/lightcurves/0128/012835232/kplr012835232-2011271113734_llc.fits 0 0 8 19 34.4925617793 0.986937705537 0.488 15.187
003232334 /raw/kepler/lightcurves/0032/003232334/kplr003232334-2013011073258_llc.fits 0 0 9 0 25.6599001097 0.942565199748 0.602 13.904
012257167 /raw/kepler/lightcurves/0122/012257167/kplr012257167-2010174085026_llc.fits 0 0 9 1 41.3425532924 0.714291772888 0.393 15.156
006470362 /raw/kepler/lightcurves/0064/006470362/kplr006470362-2009350155506_llc.fits 0 0 9 2 46.2316657283 0.843857512275 0.27 15.297
009833329 /raw/kepler/lightcurves/0098/009833329/kplr009833329-2010265121752_llc.fits 0 0 9 3 17.9608325164 0.964461231703 0.435 14.393
008474661 /raw/kepler/lightcurves/0084/008474661/kplr008474661-2010355172524_llc.fits 0 0 9 4 22.1521161932 0.88502273012 0.494 14.982
010936170 /raw/kepler/lightcurves/0109/010936170/kplr010936170-2011073133259_llc.fits 0 0 9 5 14.2608851677 0.680035075922 0.51 15.046
009225647 /raw/kepler/lightcurves/0092/009225647/kplr009225647-2009350155506_llc.fits 0 0 9 6 25.4612489324 0.939258727418 0.605 13.919
005265188 /raw/kepler/lightcurves/0052/005265188/kplr005265188-2010078095331_llc.fits 0 0 9 7 23.2593531835 0.941954195617 0.565 14.786
